trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean,sliding_window_10s_min,sliding_window_10s_max,sliding_window_10s_mean,sliding_window_15s_min,sliding_window_15s_max,sliding_window_15s_mean,sliding_window_20s_min,sliding_window_20s_max,sliding_window_20s_mean,sliding_window_30s_min,sliding_window_30s_max,sliding_window_30s_mean
0,1.0,0.12834140580544273,331.0,337.0,0.0,0.9999997109682819,0.2867436272126627,0.0,0.999999999990664,0.3890752495679007,0.0,0.9999999999999906,0.48314351495122687,nan,nan,nan,0.0,0.9999999999999999,0.7556590972592145
1,1.0,0.2100675439053406,303.0,333.0,0.0,0.9999991925930293,0.3886726463949568,0.0,0.9999999998509999,0.488979005013277,0.0,0.9999999999996788,0.5876521979173003,nan,nan,nan,0.0,0.9999999999999969,0.8245358638026756
2,1.0,0.20090786093022717,342.0,336.0,0.0,0.999999999767399,0.3696700294896741,0.0,0.9999999999999988,0.47116812672720637,0.0,1.0,0.5693600430639753,nan,nan,nan,0.0,1.0,0.8251993390876371
3,1.0,0.14374482172493785,306.0,337.0,0.0,0.9999728270804965,0.31061358052734567,0.0,0.9999999851279127,0.4092478048437113,0.0,0.9999999999252142,0.5033632750261166,nan,nan,nan,0.0,0.9999999999988253,0.7700812656383899
4,1.0,0.18577463710695583,332.0,337.0,0.0,0.9999999998266423,0.3501839954882848,0.0,0.9999999999999991,0.4524458984239403,0.0,1.0,0.5495994256029957,nan,nan,nan,0.0,1.0,0.8119092096926512
5,1.0,0.14648090151269674,344.0,298.0,0.0,0.9999989432831623,0.31696198797668795,0.0,0.999999999991334,0.4314280992178117,0.0,0.9999999999999747,0.5342748075055629,nan,nan,nan,0.0,0.9999999999999999,0.7450071933428398
6,1.0,0.11772198535913556,341.0,297.0,0.0,0.9958006323743122,0.3184173547417905,0.0,0.9998573061962711,0.4377626749004848,0.0,0.9999826078973755,0.5445088837338948,nan,nan,nan,0.0,0.9999981665572589,0.7443741193271668
7,1.0,0.10576216042317656,331.0,294.0,0.0,0.9978479988914363,0.25260089271342867,0.0,0.9999742814173701,0.33883350910710786,0.0,0.9999985641143995,0.4179283065095812,nan,nan,nan,0.0,0.9999998630161602,0.5842104912399123
8,1.0,0.1294496698998407,334.0,295.0,0.0,0.9994046349333633,0.320121139462311,0.0,0.9999963640619683,0.43485276806818823,0.0,0.9999998850546764,0.5389306821860453,nan,nan,nan,0.0,0.9999999941116713,0.7224412611828314
9,1.0,0.16038263223137386,337.0,296.0,0.0,0.9999999150967069,0.29380911522542064,0.0,0.9999999999979755,0.38004136616781736,0.0,0.9999999999999983,0.457440182843173,nan,nan,nan,0.0,1.0,0.6343718960938369
10,0.007302882016510859,2.2679757815251114e-05,315.0,322.0,0.0,0.007302882016510859,0.00011628793019921749,0.0,0.007302882016510859,0.00024022638212206773,0.0,0.007302882016510859,0.00037259602125055405,nan,nan,nan,0.0,0.007302882016510859,0.0008298729564216885
11,0.9999999979595268,0.05225320487008583,303.0,319.0,0.0,0.9524069385941046,0.16716066512910072,0.0,0.9935906739600624,0.24281318944307212,0.0,0.9986845322842126,0.30929411632057097,nan,nan,nan,0.0,0.9996349653849036,0.4855159071673477
12,0.9983405957018802,0.01856741753229555,333.0,320.0,0.0,0.6365352281185833,0.07547458193184522,0.0,0.8536182199424702,0.12701461036063127,0.0,0.9305629334375608,0.1737678858404854,nan,nan,nan,0.0,0.9503622697991775,0.3191987441355933
