trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean
0,0.0,0.0,321.0,351.0,0.0,0.0,0.0
1,0.0,0.0,325.0,353.0,0.0,0.0,0.0
2,0.0,0.0,316.0,351.0,0.0,0.0,0.0
3,0.0,0.0,312.0,348.0,0.0,0.0,0.0
4,0.0,0.0,414.0,241.0,0.0,0.0,0.0
5,0.0,0.0,418.0,240.0,0.0,0.0,0.0
6,0.0,0.0,421.0,242.0,0.0,0.0,0.0
7,0.0,0.0,411.0,238.0,0.0,0.0,0.0
8,0.0,0.0,418.0,215.0,0.0,0.0,0.0
9,0.0,0.0,427.0,216.0,0.0,0.0,0.0
10,0.0,0.0,447.0,216.0,0.0,0.0,0.0
11,0.0,0.0,426.0,211.0,0.0,0.0,0.0
12,0.0,0.0,459.0,226.0,0.0,0.0,0.0
13,0.0,0.0,450.0,230.0,0.0,0.0,0.0
14,0.0,0.0,447.0,228.0,0.0,0.0,0.0
15,0.0,0.0,449.0,226.0,0.0,0.0,0.0
16,0.0,0.0,377.0,299.0,0.0,0.0,0.0
17,0.0,0.0,373.0,300.0,0.0,0.0,0.0
18,0.0,0.0,360.0,300.0,0.0,0.0,0.0
19,0.0,0.0,351.0,299.0,0.0,0.0,0.0
20,0.0,0.0,555.0,90.0,0.0,0.0,0.0
21,0.0,0.0,557.0,89.0,0.0,0.0,0.0
22,0.0,0.0,549.0,93.0,0.0,0.0,0.0
23,0.0,0.0,560.0,87.0,0.0,0.0,0.0
24,0.0,0.0,424.0,207.0,0.0,0.0,0.0
25,0.0,0.0,335.0,298.0,0.0,0.0,0.0
26,0.0,0.0,353.0,299.0,0.0,0.0,0.0
27,0.0,0.0,348.0,297.0,0.0,0.0,0.0
MEAN,0.0,0.0,414.39285714285717,242.5,0.0,0.0,0.0
