trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean,sliding_window_10s_min,sliding_window_10s_max,sliding_window_10s_mean,sliding_window_15s_min,sliding_window_15s_max,sliding_window_15s_mean,sliding_window_30s_min,sliding_window_30s_max,sliding_window_30s_mean,sliding_window_60s_min,sliding_window_60s_max,sliding_window_60s_mean
0,0.9998420605677228,0.21590011284569963,336.0,31.0,0.2695525677311321,0.9825349936911287,0.7190741465933563,0.7994850293028234,0.9985279907611667,0.9604516672953733,0.9964515736135822,0.9995994489367596,0.99871804129747,0,0,0,0,0,0
1,0.9992701069575939,0.20100575671007506,332.0,29.0,0.5032441740841127,0.9511450032256379,0.7897516472654182,0.9454713093463757,0.9883001140110013,0.9741374566315137,0,0,0,0,0,0,0,0,0
2,0.9997674550331606,0.22016409397881975,338.0,30.0,0.4277057674982123,0.9651346416463914,0.7783271738846111,0.9118797600331919,0.9972299724526876,0.9780370160039163,0.9962354346143716,0.9993120029142208,0.998540836489347,0,0,0,0,0,0
3,0.9999088728887353,0.245611318967311,338.0,29.0,0.4886177901155673,0.9793464558697146,0.8125349985789185,0.9162568955548723,0.9989443797070343,0.9855614444241898,0.9982704080967355,0.9997099959511501,0.9994274495080683,0,0,0,0,0,0
4,1.0,0.500081200528094,195.0,146.0,0.0,0.9999999999667958,0.8495876531777626,0.14092410557234358,0.9999999999999983,0.9569227897520316,0.6741932709825816,1.0,0.9913314217359727,0.9999999034986193,1.0,0.9999999986846867,1.0,1.0,1.0
5,1.0,0.5103249671319278,188.0,151.0,0.0,0.999999970338637,0.8628086932759139,0.2792895359155393,0.9999999999989371,0.9682721742696455,0.895877058530439,0.9999999999999964,0.9979490507000885,0.9999999983217422,1.0,0.9999999999501494,1.0,1.0,1.0
6,1.0,0.48128861941117346,183.0,157.0,0.0,0.9999999564443175,0.8125472716582258,0.0,0.9999999999980479,0.9151970521207827,0.17697046282641793,0.9999999999999855,0.9722593531186318,0.9999999950471159,1.0,0.9999999998459909,1.0,1.0,1.0
7,1.0,0.49826436240490385,182.0,157.0,0.0,0.9999997675574132,0.8456212138413919,0.02968381066757797,0.9999999999979724,0.9455371516334745,0.4337609350371502,0.9999999999999977,0.9886502148636757,0.9999999998396341,1.0,0.9999999999955805,1.0,1.0,1.0
8,1.0,0.38804329358553874,188.0,160.0,0.0,0.9999999998136601,0.7570145038514687,0.0,0.9999999999999972,0.8952301517655094,0.014220028967416365,1.0,0.959976501002219,0.9999998251003294,1.0,0.999999985087104,0.9999999999999999,1.0,1.0
9,1.0,0.3965608864088397,202.0,156.0,0.0,0.9999999999351988,0.7950043344652014,0.13192707050846952,0.999999999999999,0.9407969165729869,0.8032676595749988,1.0,0.991931414391083,0.9999991796573078,1.0,0.9999998905179133,0.9999999999999931,1.0,0.9999999999999997
10,1.0,0.3987662357041957,199.0,157.0,0.0,0.9999999876828382,0.7843727852231476,0.13974847384969946,0.9999999999998721,0.930659818826134,0.7500813667304896,0.9999999999999999,0.9941439883480527,0.9999997256874524,1.0,0.9999999870060147,1.0,1.0,1.0
11,1.0,0.3897317857645315,198.0,158.0,0.0,0.999999999954287,0.7711624497696914,0.09391313423902403,0.9999999999999997,0.9194344408894306,0.5407230406938105,1.0,0.9882336995852289,0.9999996285973604,1.0,0.9999999643417157,0.999999999999999,1.0,1.0
12,0.9968393856414125,0.18660503339770387,314.0,26.0,0.36514987715647296,0.8998381993360083,0.69569789740984,0.8589145027511691,0.984064622964865,0.9436754777296804,0.9820373592513325,0.9928570580195657,0.9898339816826519,0,0,0,0,0,0
13,0.9943594512917413,0.1829270828959191,312.0,24.0,0.21946446262983255,0.9066362971384203,0.6864215327056947,0.7356382672581964,0.9777524057829134,0.916992591058445,0.9700254682996374,0.990460148071089,0.983815379125121,0,0,0,0,0,0
14,0.9957035916833403,0.1835735800104309,311.0,25.0,0.24392416229628178,0.9075887775458131,0.7106376715257631,0.8306976666435342,0.9820765153981247,0.9451719294565849,0.9801997174325701,0.9928893991645468,0.9893827746866127,0,0,0,0,0,0
15,0.9907459357241439,0.15845184965975412,312.0,26.0,0.41669073441782467,0.7981338691581319,0.6840578286069584,0.8354986919953298,0.9469146041836224,0.9165662715745237,0.9667927574346707,0.981632649956045,0.9769644010418075,0,0,0,0,0,0
MEAN,0.9985273037367407,0.3223312612128074,258.0,91.375,0.18339684599558975,0.9618973699565245,0.7721638626145853,0.47808301585238416,0.9921131628285149,0.9432902718752638,0.6986941588803877,0.9347787939383347,0.9263224067235019,0.4999998909843476,0.5,0.4999999890893222,0.4999999999999995,0.5,0.5
