trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean,sliding_window_10s_min,sliding_window_10s_max,sliding_window_10s_mean,sliding_window_15s_min,sliding_window_15s_max,sliding_window_15s_mean,sliding_window_30s_min,sliding_window_30s_max,sliding_window_30s_mean,sliding_window_60s_min,sliding_window_60s_max,sliding_window_60s_mean
0,0.9998420605677228,0.9337681294229339,336.0,31.0,0.2695525677311321,1.0,0.9822002902800199,0.7994850293028234,1.0,0.99801153634446,0.9964515736135822,1.0,0.9999527890562808,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9992701069575939,0.9358148668825269,332.0,29.0,0.5032441740841127,1.0,0.9923438975194689,0.9454713093463757,1.0,0.9996326343271522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9997674550331606,0.9364264207047952,338.0,30.0,0.4277057674982123,1.0,0.9872111831087276,0.9118797600331919,1.0,0.9990211483455784,0.9962354346143716,1.0,0.9999546587609685,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9999088728887353,0.9403889053134933,338.0,29.0,0.4886177901155673,1.0,0.9896713497839624,0.9162568955548723,1.0,0.9993950325876058,0.9982704080967355,1.0,0.999983780439322,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.7859585198741986,195.0,146.0,0.0,1.0,0.9392994683447351,0.14092410557234358,1.0,0.9836514202070964,0.6741932709825816,1.0,0.9969249080164306,0.9999999034986193,1.0,0.9999999996374458,1.0,1.0,1.0
5,1.0,0.7818851623507996,188.0,151.0,0.0,1.0,0.943485372155451,0.2792895359155393,1.0,0.9876934494136808,0.895877058530439,1.0,0.9992553476388014,0.9999999983217422,1.0,0.9999999999858489,1.0,1.0,1.0
6,1.0,0.7604773919045713,183.0,157.0,0.0,1.0,0.9179894313504737,0.0,1.0,0.9649002904548255,0.17697046282641793,1.0,0.9891930608775037,0.9999999950471159,1.0,0.999999999951965,1.0,1.0,1.0
7,1.0,0.7676327578099408,182.0,157.0,0.0,1.0,0.9345618279566498,0.02968381066757797,1.0,0.9782148606533898,0.4337609350371502,1.0,0.9957394652719028,0.9999999998396341,1.0,0.9999999999986884,1.0,1.0,1.0
8,1.0,0.7186405947519718,188.0,160.0,0.0,1.0,0.8933406688417784,0.0,1.0,0.9564231604688401,0.014220028967416365,1.0,0.9843021605727267,0.9999998251003294,1.0,0.9999999952783621,0.9999999999999999,1.0,1.0
9,1.0,0.7370488778764775,202.0,156.0,0.0,1.0,0.918349184066648,0.13192707050846952,1.0,0.9777776391720955,0.8032676595749988,1.0,0.9971619219224449,0.9999991796573078,1.0,0.9999999697177206,0.9999999999999931,1.0,1.0
10,1.0,0.7348491545099965,199.0,157.0,0.0,1.0,0.9111762893674897,0.13974847384969946,1.0,0.9730232724539715,0.7500813667304896,1.0,0.9978596448640543,0.9999997256874524,1.0,0.9999999962249889,1.0,1.0,1.0
11,1.0,0.7291506240190897,198.0,158.0,0.0,1.0,0.9050844251885652,0.09391313423902403,1.0,0.9684238730863475,0.5407230406938105,1.0,0.9956650472156107,0.9999996285973604,1.0,0.9999999895315128,0.999999999999999,1.0,1.0
12,0.9968393856414125,0.937799208436295,314.0,26.0,0.36514987715647296,1.0,0.9818867796077286,0.8589145027511691,1.0,0.9974475292022513,0.9820373592513325,1.0,0.9996881589473207,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9943594512917413,0.94163764877828,312.0,24.0,0.21946446262983255,1.0,0.9848877847087082,0.7356382672581964,1.0,0.9972077018398866,0.9700254682996374,1.0,0.9996984232135117,1.0,1.0,1.0,1.0,1.0,1.0
14,0.9957035916833403,0.939253986607919,311.0,25.0,0.24392416229628178,1.0,0.9851832542648734,0.8306976666435342,1.0,0.9979879607140032,0.9801997174325701,1.0,0.9997691907540568,1.0,1.0,1.0,1.0,1.0,1.0
15,0.9907459357241439,0.9352655268969041,312.0,26.0,0.41669073441782467,1.0,0.9829731763919918,0.8354986919953298,1.0,0.9967032265363794,0.9667927574346707,1.0,0.99943121977881,1.0,1.0,1.0,1.0,1.0,1.0
MEAN,0.9985273037367407,0.844749861008762,258.0,91.375,0.18339684599558975,1.0,0.9531027739335796,0.47808301585238416,1.0,0.9859696709879728,0.7611941588803877,1.0,0.997161236083109,0.9999998909843475,1.0,0.9999999968954083,0.9999999999999996,1.0,1.0
